smiles idnumber mw hac
CC(C)CN(C(=O)CN(C)CC1=CC=CC(F)=C1)C1CCS(=O)(=O)C1 Z54754484 370.490 25
CC(C)CN(C(=O)CN1CCN(C)CC1)C1CCS(=O)(=O)C1 Z55001646 331.482 22
CCN1CCN(CC(=O)N(CC(C)C)C2CCS(=O)(=O)C2)CC1 Z55001980 345.509 23
CC1=CC(NC(=O)COC2=NC=NC3=C2C=NN3C2=CC=CC=C2)=NO1 Z13603121 350.338 26
CC1=CC=C(COC2=NC=NC3=C2C=NN3C2=CC=CC=C2)C=C1 Z13603846 316.364 24
FC1=CC=CC(COC2=NC=NC3=C2C=NN3C2=CC=CC=C2)=C1 Z13604006 320.327 24
ClC1=CC=C(COC2=NC=NC3=C2C=NN3C2=CC=CC=C2)C=C1 Z13607050 336.782 24
C1=CC=C(COC2=NC=NC3=C2C=NN3C2=CC=CC=C2)C=C1 Z13607059 302.337 23
ClC1=CC=CC(COC2=NC=NC3=C2C=NN3C2=CC=CC=C2)=C1 Z13607092 336.782 24
CC1=CC=CC(NC(=O)COC2=NC=NC3=C2C=NN3C2=CC=CC=C2)=C1C Z13607273 373.416 28
CC1=CC=CC(COC2=NC=NC3=C2C=NN3C2=CC=CC=C2)=C1 Z13609187 316.364 24
COCCN1C(SCC(=O)NC2=NOC(C)=C2)=NC2=C(C3=C(CCCC3)S2)C1=O Z13671845 434.543 29
COCCN1C(SCC(=O)C2=CC=C(NC(C)=O)C=C2)=NC2=C(C3=C(CCCC3)S2)C1=O Z13675064 471.604 32
COCCN1C(SCC2=CSC(C)=N2)=NC2=C(C3=C(CCCC3)S2)C1=O Z13675948 407.586 26
COCCN1C(SCC2=CC=CC=C2)=NC2=C(C3=C(CCCC3)S2)C1=O Z13677281 386.542 26
COCCN1C(SCC(=O)NC2=CC=CC(C)=C2C)=NC2=C(C3=C(CCCC3)S2)C1=O Z13677594 457.621 31
CC1=CC(NC(=O)CSC2=NC3=C(C4=C(CCCC4)S3)C(=O)[NH]2)=NO1 Z13680608 376.463 25
CC1=CC=C(CSC2=NC3=C(C4=C(CCCC4)S3)C(=O)[NH]2)C=C1 Z13681432 342.489 23
O=C1[NH]C(SCC2=CC(F)=CC=C2)=NC2=C1C1=C(CCCC1)S2 Z13681780 346.452 23
O=C1[NH]C(SCCC2=CC=CC=C2)=NC2=C1C1=C(CCCC1)S2 Z13683541 342.489 23
CC1=NC(CSC2=NC3=C(C4=C(CCCC4)S3)C(=O)[NH]2)=CS1 Z13684081 349.506 22
O=C1[NH]C(SCC2=CC=CC=C2F)=NC2=C1C1=C(CCCC1)S2 Z13685644 346.452 23
CC1=CC=CC(NC(=O)CSC2=NC3=C(C4=C(CCCC4)S3)C(=O)[NH]2)=C1C Z13686083 399.541 27
CC1=CC(NC(=O)CSC2=NN=C(C3=CC=C(Cl)C=C3)N2C2=CC=CC=C2)=NO1 Z13707403 425.901 29
CC1=CC(NC(=O)CSC2=NC3=C(C4=C(CCCC4)S3)C(=O)N2C)=NO1 Z13716573 390.490 26
CC(=O)NC1=CC=C(C(=O)CSC2=NC3=C(C4=C(CCCC4)S3)C(=O)N2C)C=C1 Z13720376 427.551 29
CC1=NC(CSC2=NC3=C(C4=C(CCCC4)S3)C(=O)N2C)=CS1 Z13721262 363.533 23
CN1C(SCC2=CC=CC=C2F)=NC2=C(C3=C(CCCC3)S2)C1=O Z13722589 360.479 24
CN1C(SCC2=CC=CC=C2)=NC2=C(C3=C(CCCC3)S2)C1=O Z13722640 342.489 23
CC1=CC=CC(NC(=O)CSC2=NC3=C(C4=C(CCCC4)S3)C(=O)N2C)=C1C Z13722887 413.568 28
CC1=CC(NC(=O)CSC2=NN=C(C3=CC=CC=C3F)N2CC(C)C)=NO1 Z13774227 389.456 27
CC1=NC(CSC2=NN=C(C3=CC=CC=C3F)N2CC(C)C)=CS1 Z13776106 362.499 24
CCC1=CC=C(OCC2=NN=C(SCC(=O)NC3=NOC(C)=C3)N2CC(C)C)C=C1 Z13811833 429.546 30
CC1=CC(NC(=O)CN2C(=O)C3=C(N=CN3CC3=CC=CC=C3)N(CC3=CC=CC=C3)C2=O)=NO1 Z13986109 470.489 35
O=C1C2=C(N=CN2CC2=CC=CC=C2)N(CC2=CC=CC=C2)C(=O)N1CC1=CC=CC=C1 Z13989699 422.488 32
CC1=CC=CC(NC(=O)CN2C(=O)C3=C(N=CN3CC3=CC=CC=C3)N(CC3=CC=CC=C3)C2=O)=C1C Z13989948 493.567 37
CC1=CC(NC(=O)CSC2=NN=C(C3=CC=CS3)N2CC2=CC=CC=C2)=NO1 Z14341766 411.512 28
CC(=O)NC1=CC=C(C(=O)CSC2=NN=C(C3=CC=CS3)N2CC2=CC=CC=C2)C=C1 Z14345320 448.573 31
CC1=CC(NC(=O)CSC2=NN=C(C3=CC=CO3)N2CC2=CC=CC=C2)=NO1 Z14352219 395.444 28
CC(=O)NC1=CC=C(C(=O)CSC2=NN=C(C3=CC=CO3)N2CC2=CC=CC=C2)C=C1 Z14355819 432.505 31
C1=CC=C(CCSC2=NN=C(C3=CC=CO3)N2CC2=CC=CC=C2)C=C1 Z14356183 361.470 26
CC1=NC(CSC2=NN=C(C3=CC=CO3)N2CC2=CC=CC=C2)=CS1 Z14357096 368.487 25
C1=CC=C(CSC2=NN=C(C3=CC=CO3)N2CC2=CC=CC=C2)C=C1 Z14359369 347.443 25
CCN1C(SCC(=O)NC2=NOC(C)=C2)=NN=C1C1=CC=CO1 Z14363823 333.373 23
CCN1C(SCC2=CC=C(C)C=C2)=NN=C1C1=CC=CO1 Z14364834 299.399 21
CCN1C(SCC2=CC=CC(F)=C2)=NN=C1C1=CC=CO1 Z14365369 303.362 21
CCN1C(SCC(=O)C2=CC=C(NC(C)=O)C=C2)=NN=C1C1=CC=CO1 Z14367263 370.434 26
CCN1C(SC(C)C(=O)C2=CC=C(C)C(C)=C2)=NN=C1C1=CC=CO1 Z14367509 355.463 25
CCN1C(SCCC2=CC=CC=C2)=NN=C1C1=CC=CO1 Z14367538 299.399 21
CCC1=CC=C(C(=O)C(C)SC2=NN=C(C3=CC=CO3)N2CC)C=C1 Z14367812 355.463 25
CCN1C(SCC2=CSC(C)=N2)=NN=C1C1=CC=CO1 Z14368447 306.416 20
CCN1C(SCC2=CC=CC=C2F)=NN=C1C1=CC=CO1 Z14370037 303.362 21
CCN1C(SCC2=CC=CC=C2)=NN=C1C1=CC=CO1 Z14370145 285.372 20
CCN1C(SCC2=CC=CC(Cl)=C2)=NN=C1C1=CC=CO1 Z14370250 319.817 21
CCN1C(SCC(=O)NC2=CC=CC(C)=C2C)=NN=C1C1=CC=CO1 Z14370468 356.451 25
CCN1C(SCC2=CC=C(C)C=C2)=NN=C1C1=CC=CS1 Z14375217 315.467 21
CCN1C(SCC2=CC=CC(F)=C2)=NN=C1C1=CC=CS1 Z14375725 319.430 21
CCN1C(SCC(=O)C2=CC=C(NC(C)=O)C=C2)=NN=C1C1=CC=CS1 Z14377283 386.502 26
CCC1=CC=C(C(=O)C(C)SC2=NN=C(C3=CC=CS3)N2CC)C=C1 Z14377978 371.531 25
CCN1C(SCC2=CSC(C)=N2)=NN=C1C1=CC=CS1 Z14378420 322.484 20
CCN1C(SCC2=CC=CC=C2F)=NN=C1C1=CC=CS1 Z14380137 319.430 21
CCN1C(SCC2=CC=C(Cl)C=C2)=NN=C1C1=CC=CS1 Z14380191 335.885 21
CCN1C(SCC2=CC=CC=C2)=NN=C1C1=CC=CS1 Z14380202 301.440 20
CCN1C(SCC2=CC=CC(Cl)=C2)=NN=C1C1=CC=CS1 Z14380277 335.885 21
CCN1C(SCC(=O)NC2=CC=CC(C)=C2C)=NN=C1C1=CC=CS1 Z14380497 372.519 25
CCN1C(SCC2=CC=CC(C)=C2)=NN=C1C1=CC=CS1 Z14382975 315.467 21
CCC1=CC=C(OCC2=NN=C(SCC(=O)NC3=NOC(C)=C3)N2CC2=CC=CC=C2)C=C1 Z14421738 463.563 33
CCC(C)N1C(SCC(=O)NC2=NOC(C)=C2)=NC2=C(C3=C(CCCCC3)S2)C1=O Z14451781 446.598 30
CC1=NC2=NC(SCC(=O)NC3=NOC(C)=C3)=NN2C(C)=C1 Z14482702 318.362 22
CC1=CC=C(CSC2=NN3C(C)=CC(C)=NC3=N2)C=C1 Z14484386 284.388 20
CC1=NC2=NC(SCC3=CC=CC(F)=C3)=NN2C(C)=C1 Z14484820 288.351 20
CC(=O)NC1=CC=C(C(=O)CSC2=NN3C(C)=CC(C)=NC3=N2)C=C1 Z14486905 355.423 25
CC1=NC2=NC(SC(C)C(=O)C3=CC=C(C)C(C)=C3)=NN2C(C)=C1 Z14487216 340.452 24
CC1=NC2=NC(SCCC3=CC=CC=C3)=NN2C(C)=C1 Z14487273 284.388 20
CCC1=CC=C(C(=O)C(C)SC2=NN3C(C)=CC(C)=NC3=N2)C=C1 Z14487613 340.452 24
CC1=NC2=NC(SCC3=CSC(C)=N3)=NN2C(C)=C1 Z14488432 291.405 19
CC1=NC2=NC(SCC3=CC=C(Cl)C=C3)=NN2C(C)=C1 Z14490260 304.806 20
CC1=NC2=NC(SCC3=CC=CC=C3)=NN2C(C)=C1 Z14490268 270.361 19
CC1=NC2=NC(SCC3=CC=CC(Cl)=C3)=NN2C(C)=C1 Z14490326 304.806 20
CC1=NC2=NC(SCC(=O)NC3=CC=CC(C)=C3C)=NN2C(C)=C1 Z14490532 341.440 24
CC1=CC=CC(CSC2=NN3C(C)=CC(C)=NC3=N2)=C1 Z14492978 284.388 20
CC1=CC(NC(=O)CN2C=C(C(F)(F)F)C=C(Cl)C2=O)=NO1 Z14503497 335.669 22
CC1=CC=C(CN2C=C(C(F)(F)F)C=C(Cl)C2=O)C=C1 Z14504101 301.695 20
O=C1C(Cl)=CC(C(F)(F)F)=CN1CC1=CC(F)=CC=C1 Z14504306 305.658 20
CC(=O)NC1=CC=C(C(=O)CN2C=C(C(F)(F)F)C=C(Cl)C2=O)C=C1 Z14505420 372.730 25
O=C1C(Cl)=CC(C(F)(F)F)=CN1CC1=CC=CC=C1F Z14507187 305.658 20
O=C1C(Cl)=CC(C(F)(F)F)=CN1CC1=CC=CC=C1 Z14507265 287.668 19
O=C1C(Cl)=CC(C(F)(F)F)=CN1CC1=CC=CC(Cl)=C1 Z14507350 322.113 20
COC1=CC(C2=NN=C(SCC(=O)NC3=NOC(C)=C3)N2C2CCCCC2)=CC(OC)=C1OC Z14570326 487.582 34
CC1=CC(NC(=O)CSC2=NN=C(C3=CC=C(Br)O3)N2CC2=CC=CC=C2)=NO1 Z14591718 474.340 29
CCCCN1C(SCC(=O)NC2=NOC(C)=C2)=NC2=C(C(C)=C(C)S2)C1=O Z14636109 406.533 27
CCCCN1C(SCC(=O)C2=CC=C(NC(C)=O)C=C2)=NC2=C(C(C)=C(C)S2)C1=O Z14640530 443.594 30
CCCCN1C(SCC2=CSC(C)=N2)=NC2=C(C(C)=C(C)S2)C1=O Z14641631 379.576 24
COC1=CC=C2C(C3=CC=CC=C3)=CC(SCC(=O)NC3=NOC(C)=C3)=NC2=C1 Z15370043 405.479 29
CC1=CC(NC(=O)CSC2=NC3=C(C=NN3C3=CC=CC=C3)C(=O)[NH]2)=NO1 Z15383057 382.405 27
CC1=CC=CC(NC(=O)CSC2=NC3=C(C=NN3C3=CC=CC=C3)C(=O)[NH]2)=C1C Z15383594 405.483 29
COC(=O)C1=CC(OCC(=O)NC2=NOC(C)=C2)=CC(C(=O)OC)=C1 Z15426821 348.311 25
COC(=O)C1=CC(OCC(=O)NC2=CC=CC(C)=C2C)=CC(C(=O)OC)=C1 Z15427326 371.389 27
CC1=CC(NC(=O)CSC2=NN=C(C3=NN(CC4=CC=CC=C4)C(=O)C4=CC=CC=C34)O2)=NO1 Z15434356 474.502 34
O=C1C2=CC=CC=C2C(C2=NN=C(SCC3=CC(F)=CC=C3)O2)=NN1CC1=CC=CC=C1 Z15434610 444.491 32
CC1=NC(CSC2=NN=C(C3=NN(CC4=CC=CC=C4)C(=O)C4=CC=CC=C34)O2)=CS1 Z15435090 447.545 31
O=C1C2=CC=CC=C2C(C2=NN=C(SCC3=CC=CC=C3F)O2)=NN1CC1=CC=CC=C1 Z15435378 444.491 32
O=C1C2=CC=CC=C2C(C2=NN=C(SCC3=CC=CC=C3)O2)=NN1CC1=CC=CC=C1 Z15435389 426.501 31
CCN1C(SCC(=O)NC2=NOC(C)=C2)=NC2=CC=CC=C21 Z15476499 316.386 22
CCN1C(SCC(=O)C2=CC=C(NC(C)=O)C=C2)=NC2=CC=CC=C21 Z15476882 353.447 25
CC1=CC(NC(=O)CSC2=NC3=CC=CC=C3N2C)=NO1 Z15477736 302.359 21
CC1=CC=C(CSC2=NC3=CC=CC=C3N2C)C=C1 Z15477919 268.385 19
CN1C(SCC2=CC=CC(F)=C2)=NC2=CC=CC=C21 Z15477996 272.348 19
CC(=O)NC1=CC=C(C(=O)CSC2=NC3=CC=CC=C3N2C)C=C1 Z15478296 339.420 24
CC1=CC=C(C(=O)C(C)SC2=NC3=CC=CC=C3N2C)C=C1C Z15478361 324.449 23
CN1C(SCCC2=CC=CC=C2)=NC2=CC=CC=C21 Z15478368 268.385 19
CC1=NC(CSC2=NC3=CC=CC=C3N2C)=CS1 Z15478505 275.402 18
CN1C(SCC2=CC=CC=C2F)=NC2=CC=CC=C21 Z15478798 272.348 19
CN1C(SCC2=CC=CC=C2)=NC2=CC=CC=C21 Z15478809 254.358 18
CC1=CC=CC(NC(=O)CSC2=NC3=CC=CC=C3N2C)=C1C Z15478864 325.437 23
CC1=CC=CC(CSC2=NC3=CC=CC=C3N2C)=C1 Z15479291 268.385 19
CC1=CC(NC(=O)CSC2=NC3=C(C(C4=CC=CO4)=CS3)C(=O)N2C2=CC=CC=C2)=NO1 Z15480641 464.528 32
CCCN1C(SCC(=O)NC2=NOC(C)=C2)=NN=C1C1=CC=C(Cl)C=C1 Z15499619 391.884 26
CCCN1C(SCC(=O)C2=CC=C(NC(C)=O)C=C2)=NN=C1C1=CC=C(Cl)C=C1 Z15500159 428.945 29
CC1=CC(NC(=O)CSC2=NC3=CC=CC=C3C(=O)N2C2=CC=CC(Cl)=C2)=NO1 Z15505423 426.885 29
CC(=O)NC1=CC=C(C(=O)CSC2=NC3=CC=CC=C3C(=O)N2C2=CC=CC(Cl)=C2)C=C1 Z15505963 463.946 32
CC1=CC(NC(=O)CSC2=NN=C(C3=CC=CC=C3Cl)N2C2CCCC2)=NO1 Z15586940 417.922 28
CC1=CC(NC(=O)CSC2=NN=C(C3=CC=CC=C3Cl)N2CC2=CC=CC=C2)=NO1 Z15588624 439.928 30
CC1=CC(N2C(SCC(=O)NC3=NOC(C)=C3)=NN=C2C2=CC=C(Cl)C=C2)=CC=C1 Z15645077 439.928 30
COC1=CC=C(C2=NN=C(SCC(=O)NC3=NOC(C)=C3)N2C2=CC=CC(C(F)(F)F)=C2)C=C1 Z15650129 489.479 34
CC(=O)C1=CC(F)=CC=C1OCC(=O)NC1=NOC(C)=C1 Z15657968 292.266 21
CC(=O)C1=CC(F)=CC=C1OCC(=O)NC1=CC=CC(C)=C1C Z15658330 315.344 23
CC1=CC(NC(=O)COC2=NC=NC3=C(Cl)C=C(Cl)C=C23)=NO1 Z15682660 353.165 23
FC1=CC=CC(COC2=NC=NC3=C(Cl)C=C(Cl)C=C23)=C1 Z15682821 323.154 21
CC(=O)NC1=CC=C(C(=O)COC2=NC=NC3=C(Cl)C=C(Cl)C=C23)C=C1 Z15683004 390.226 26
FC1=CC=CC=C1COC1=NC=NC2=C(Cl)C=C(Cl)C=C12 Z15683273 323.154 21
ClC1=CC(Cl)=C2N=CN=C(OCC3=CC=CC=C3)C2=C1 Z15683280 305.164 20
CC1=CC=CC(NC(=O)COC2=NC=NC3=C(Cl)C=C(Cl)C=C23)=C1C Z15683322 376.243 25
CC1=CC(NC(=O)COC2=CC=CC=C2C(N)=O)=NO1 Z15685466 275.264 20
CC1=NC2=CC=CC=C2C(SCC(=O)NC2=NOC(C)=C2)=N1 Z15751535 314.370 22
CC1=CC=C(CSC2=NC(C)=NC3=CC=CC=C23)C=C1 Z15751718 280.396 20
CC1=NC(SCC2=CC=CC(F)=C2)=C2C=CC=CC2=N1 Z15751795 284.359 20
CC(=O)NC1=CC=C(C(=O)CSC2=NC(C)=NC3=CC=CC=C23)C=C1 Z15752095 351.431 25
CC1=NC2=CC=CC=C2C(SC(C)C(=O)C2=CC=C(C)C(C)=C2)=N1 Z15752160 336.460 24
CC1=NC(SCCC2=CC=CC=C2)=C2C=CC=CC2=N1 Z15752167 280.396 20
CC1=NC2=CC=CC=C2C(SCC2=CSC(C)=N2)=N1 Z15752304 287.413 19
CC1=NC(SCC2=CC=CC=C2F)=C2C=CC=CC2=N1 Z15752597 284.359 20
CC1=NC(SCC2=CC=CC=C2)=C2C=CC=CC2=N1 Z15752608 266.369 19
CC1=NC2=CC=CC=C2C(SCC(=O)NC2=C(C)C(C)=CC=C2)=N1 Z15752663 337.448 24
CC1=CC=CC(CSC2=NC(C)=NC3=CC=CC=C23)=C1 Z15753090 280.396 20
CCCCN1C(SCC(=O)NC2=NOC(C)=C2)=NN=C1C1=CC=C(OC)C=C1 Z15756630 401.492 28
CCCCN1C(SCC(=O)C2=CC=C(NC(C)=O)C=C2)=NN=C1C1=CC=C(OC)C=C1 Z15757190 438.553 31
CCCCN1C(SCC2=CSC(C)=N2)=NN=C1C1=CC=C(OC)C=C1 Z15757399 374.535 25
CC1=CC(NC(=O)CSC2=NN=C(C3=CC=CC=C3F)N2CC2=CC=CC=C2)=NO1 Z15779689 423.473 30
CC(=O)C1=CC(Br)=CC=C1OCC(=O)NC1=NOC(C)=C1 Z15794401 353.172 21
CC(=O)C1=CC(Br)=CC=C1OCC(=O)NC1=CC=CC(C)=C1C Z15794763 376.250 23
CC(=O)C1=CC(Cl)=CC=C1OCC(=O)NC1=NOC(C)=C1 Z15795110 308.721 21
CC(=O)C1=CC(Cl)=CC=C1OCC(=O)NC1=CC=CC(C)=C1C Z15795472 331.799 23
