O=S1(=O)CCCN1Cc1cccc(F)c1,Cc1cccc(F)c1,RING|O=S1(=O)CCCN1[Xe]|OC1(O)CCCC1[100Xe]|RING|Fc1cccc(C[Xe])c1|FC1CCCC(C[100Xe])C1
O=S1(=O)CCCN1Cc1cccc(F)c1,Fc1ccccc1.O=S1(=O)CCCN1,FG|[Xe]C[Xe]|[100Xe]C[101Xe]|RING|Fc1cccc([Xe])c1.O=S1(=O)CCCN1[Xe]|FC1CCCC([101Xe])C1.OC1(O)CCCC1[100Xe]
CC(=O)N1CCC(N)CC1,CC(=O)N1CCCCC1,FG|N[Xe]|N[101Xe]|RING|CC(=O)N1CCC([Xe])CC1|CC(O)C1CCC([101Xe])CC1
CC(=O)N1CCC(N)CC1,NC1CCNCC1,FG|CC(=O)[Xe]|CC(O)[100Xe]|RING|NC1CCN([Xe])CC1|NC1CCC([100Xe])CC1
CC(=O)N1CCC(N)CC1,CC=O.N,RING|[Xe]C1CCN([Xe])CC1|[100Xe]C1CCC([101Xe])CC1|FG|CC(=O)[Xe].N[Xe]|CC(O)[100Xe].N[101Xe]
COC(=O)c1ccncc1,COC=O,RING|[Xe]c1ccncc1|[100Xe]C1CCCCC1|FG|COC(=O)[Xe]|COC(O)[100Xe]
COC(=O)c1ccncc1,c1ccncc1,FG|COC(=O)[Xe]|COC(O)[100Xe]|RING|[Xe]c1ccncc1|[100Xe]C1CCCCC1
CC(c1ccccc1F)N1CCNCC1,CCc1ccccc1F,RING|[Xe]N1CCNCC1|[102Xe]C1CCCCC1|RING|CC([Xe])c1ccccc1F|CC([102Xe])C1CCCCC1F
CC(c1ccccc1F)N1CCNCC1,CC(c1ccccc1)N1CCNCC1,FG|F[Xe]|F[101Xe]|RING|CC(c1ccccc1[Xe])N1CCNCC1|CC(C1CCCCC1)C1CCCCC1[101Xe]
CC(c1ccccc1F)N1CCNCC1,C1CNCCN1.Fc1ccccc1,FG|CC([Xe])[Xe]|CC([100Xe])[102Xe]|RING|Fc1ccccc1[Xe].[Xe]N1CCNCC1|FC1CCCCC1[100Xe].[102Xe]C1CCCCC1
CC(c1ccccc1F)N1CCNCC1,CCN1CCNCC1.F,RING|[Xe]c1ccccc1[Xe]|[100Xe]C1CCCCC1[101Xe]|RING|CC([Xe])N1CCNCC1.F[Xe]|CC([100Xe])C1CCCCC1.F[101Xe]
CC1CCC(C(=O)N2CCC=C(F)C2)O1,O=C(C1CCCO1)N1CCC=C(F)C1,FG|C[Xe]|C[100Xe]|RING|O=C(C1CCC([Xe])O1)N1CCC=C(F)C1|OC(C1CCCC(F)C1)[1CH]1CC[1CH]([100Xe])C1
CC1CCC(C(=O)N2CCC=C(F)C2)O1,CC1CCC(C(=O)N2CC=CCC2)O1,FG|F[Xe]|F[103Xe]|RING|CC1CCC(C(=O)N2CCC=C([Xe])C2)O1|C[1CH]1CC[1CH](C(O)C2CCCC([103Xe])C2)C1
CC1CCC(C(=O)N2CCC=C(F)C2)O1,CC1CCC(C=O)O1.F,RING|[Xe]C1=CCCN([Xe])C1|[102Xe]C1CCCC([103Xe])C1|RING|CC1CCC(C(=O)[Xe])O1.F[Xe]|C[1CH]1CC[1CH](C(O)[102Xe])C1.F[103Xe]
CC1CCC(C(=O)N2CCC=C(F)C2)O1,C.O=CN1CCC=C(F)C1,RING|[Xe]C1CCC([Xe])O1|[100Xe][1CH]1CC[1CH]([101Xe])C1|RING|C[Xe].O=C([Xe])N1CCC=C(F)C1|C[100Xe].OC([101Xe])C1CCCC(F)C1
CC1CCC(C(=O)N2CCC=C(F)C2)O1,CC1CCCO1.FC1=CCCNC1,FG|O=C([Xe])[Xe]|OC([101Xe])[102Xe]|RING|CC1CCC([Xe])O1.FC1=CCCN([Xe])C1|C[1CH]1CC[1CH]([101Xe])C1.FC1CCCC([102Xe])C1
CNC(=O)c1cccc2cc[nH]c12,c1ccc2[nH]ccc2c1,FG|CNC(=O)[Xe]|CNC(O)[100Xe]|RING|[Xe]c1cccc2cc[nH]c12|[100Xe]C1CCCC2CCCC12
CNC(=O)c1cccc2cc[nH]c12,CNC=O,RING|[Xe]c1cccc2cc[nH]c12|[100Xe]C1CCCC2CCCC12|FG|CNC(=O)[Xe]|CNC(O)[100Xe]
COc1ccc(CN)cc1OC,COc1cccc(CN)c1,FG|CO[Xe]|CO[100Xe]|RING|COc1cc(CN)ccc1[Xe]|COC1CC(CN)CCC1[100Xe]
COc1ccc(CN)cc1OC,COc1ccc(CN)cc1,FG|CO[Xe]|CO[102Xe]|RING|COc1ccc(CN)cc1[Xe]|COC1CCC(CN)CC1[102Xe]
COc1ccc(CN)cc1OC,CN.CO.CO,RING|[Xe]c1ccc([Xe])c([Xe])c1|[100Xe]C1CCC([101Xe])CC1[102Xe]|FG|CO[Xe].CO[Xe].NC[Xe]|CO[100Xe].CO[102Xe].NC[101Xe]
COc1ccc(CN)cc1OC,COc1ccccc1OC,FG|NC[Xe]|NC[101Xe]|RING|COc1ccc([Xe])cc1OC|COC1CCC([101Xe])CC1OC
CC1CN(C(=O)c2cnccn2)CCO1,O=C(c1cnccn1)N1CCOCC1,FG|C[Xe]|C[100Xe]|RING|O=C(c1cnccn1)N1CCOC([Xe])C1|OC(C1CCCC([100Xe])C1)C1CCCCC1
CC1CN(C(=O)c2cnccn2)CCO1,CC1CNCCO1.c1cnccn1,FG|O=C([Xe])[Xe]|OC([101Xe])[102Xe]|RING|CC1CN([Xe])CCO1.[Xe]c1cnccn1|CC1CCCC([101Xe])C1.[102Xe]C1CCCCC1
CC1CN(C(=O)c2cnccn2)CCO1,CC1CN(C=O)CCO1,RING|[Xe]c1cnccn1|[102Xe]C1CCCCC1|RING|CC1CN(C(=O)[Xe])CCO1|CC1CCCC(C(O)[102Xe])C1
CC1CN(C(=O)c2cnccn2)CCO1,C.O=Cc1cnccn1,RING|[Xe]C1CN([Xe])CCO1|[100Xe]C1CCCC([101Xe])C1|RING|C[Xe].O=C([Xe])c1cnccn1|C[100Xe].OC([101Xe])C1CCCCC1
CCc1ncc(CNC)s1,CCc1nccs1,FG|CNC[Xe]|CNC[101Xe]|RING|CCc1ncc([Xe])s1|CCC1CCC([101Xe])C1
CCc1ncc(CNC)s1,CC.CNC,RING|[Xe]c1cnc([Xe])s1|[100Xe]C1CCC([101Xe])C1|FG|CC[Xe].CNC[Xe]|CC[100Xe].CNC[101Xe]
CCc1ncc(CNC)s1,CNCc1cncs1,FG|CC[Xe]|CC[100Xe]|RING|CNCc1cnc([Xe])s1|CNCC1CCC([100Xe])C1
NC(=O)c1cc(N2CCCC2)ccn1,C1CCNC1.NC(=O)c1ccccn1,FG|[Xe]|[Xe]|RING|NC(=O)c1cc([Xe])ccn1.[Xe]N1CCCC1|NC(O)C1CCCC([Xe])C1.[Xe]C1CCCC1
NC(=O)c1cc(N2CCCC2)ccn1,NC(=O)c1ccccn1,RING|[Xe]N1CCCC1|[101Xe]C1CCCC1|RING|NC(=O)c1cc([Xe])ccn1|NC(O)C1CCCC([101Xe])C1
NC(=O)c1cc(N2CCCC2)ccn1,C1CCNC1.NC=O,RING|[Xe]c1ccnc([Xe])c1|[100Xe]C1CCCC([101Xe])C1|RING|NC(=O)[Xe].[Xe]N1CCCC1|NC(O)[100Xe].[101Xe]C1CCCC1
NC(=O)c1cc(N2CCCC2)ccn1,c1cc(N2CCCC2)ccn1,FG|NC(=O)[Xe]|NC(O)[100Xe]|RING|[Xe]c1cc(N2CCCC2)ccn1|[100Xe]C1CCCC(C2CCCC2)C1
NCc1ccc(-c2cccs2)cc1,NCc1ccccc1.c1ccsc1,FG|[Xe]|[Xe]|RING|NCc1ccc([Xe])cc1.[Xe]c1cccs1|NCC1CCC([Xe])CC1.[Xe]C1CCCC1
NCc1ccc(-c2cccs2)cc1,CN.c1ccsc1,RING|[Xe]c1ccc([Xe])cc1|[100Xe]C1CCC([101Xe])CC1|RING|NC[Xe].[Xe]c1cccs1|NC[100Xe].[101Xe]C1CCCC1
NCc1ccc(-c2cccs2)cc1,NCc1ccccc1,RING|[Xe]c1cccs1|[101Xe]C1CCCC1|RING|NCc1ccc([Xe])cc1|NCC1CCC([101Xe])CC1
NCc1ccc(-c2cccs2)cc1,c1ccc(-c2cccs2)cc1,FG|NC[Xe]|NC[100Xe]|RING|[Xe]c1ccc(-c2cccs2)cc1|[100Xe]C1CCC(C2CCCC2)CC1
CCNc1ccc(C)nn1,CCNc1cccnn1,FG|C[Xe]|C[101Xe]|RING|CCNc1ccc([Xe])nn1|CCNC1CCC([101Xe])CC1
CCNc1ccc(C)nn1,Cc1cccnn1,FG|CCN[Xe]|CCN[100Xe]|RING|Cc1ccc([Xe])nn1|CC1CCC([100Xe])CC1
CCNc1ccc(C)nn1,C.CCN,RING|[Xe]c1ccc([Xe])nn1|[100Xe]C1CCC([101Xe])CC1|FG|CCN[Xe].C[Xe]|CCN[100Xe].C[101Xe]
COc1ccc(NC(=O)CN)cc1,COc1ccccc1,FG|NCC(=O)N[Xe]|NCC(O)N[101Xe]|RING|COc1ccc([Xe])cc1|COC1CCC([101Xe])CC1
COc1ccc(NC(=O)CN)cc1,NCC(=O)Nc1ccccc1,FG|CO[Xe]|CO[100Xe]|RING|NCC(=O)Nc1ccc([Xe])cc1|NCC(O)NC1CCC([100Xe])CC1
COc1ccc(NC(=O)CN)cc1,CO.NCC(N)=O,RING|[Xe]c1ccc([Xe])cc1|[100Xe]C1CCC([101Xe])CC1|FG|CO[Xe].NCC(=O)N[Xe]|CO[100Xe].NCC(O)N[101Xe]
CNc1nccnc1C#N,C#N.CN,RING|[Xe]c1nccnc1[Xe]|[100Xe]C1CCCCC1[101Xe]|FG|CN[Xe].N#C[Xe]|CN[100Xe].NC[101Xe]
CNc1nccnc1C#N,N#Cc1cnccn1,FG|CN[Xe]|CN[100Xe]|RING|N#Cc1nccnc1[Xe]|NCC1CCCCC1[100Xe]
CNc1nccnc1C#N,CNc1cnccn1,FG|N#C[Xe]|NC[101Xe]|RING|CNc1nccnc1[Xe]|CNC1CCCCC1[101Xe]
Cc1noc(CC(N)c2ccccc2)n1,NC(Cc1ncno1)c1ccccc1,FG|C[Xe]|C[100Xe]|RING|NC(Cc1nc([Xe])no1)c1ccccc1|NC(CC1CCC([100Xe])C1)C1CCCCC1
Cc1noc(CC(N)c2ccccc2)n1,C.CC(N)c1ccccc1,RING|[Xe]c1noc([Xe])n1|[100Xe]C1CCC([101Xe])C1|RING|C[Xe].NC(C[Xe])c1ccccc1|C[100Xe].NC(C[101Xe])C1CCCCC1
Cc1noc(CC(N)c2ccccc2)n1,Cc1ncon1.c1ccccc1,FG|NC([Xe])C[Xe]|NC([102Xe])C[101Xe]|RING|Cc1noc([Xe])n1.[Xe]c1ccccc1|CC1CCC([101Xe])C1.[102Xe]C1CCCCC1
Cc1noc(CC(N)c2ccccc2)n1,Cc1noc(CCN)n1,RING|[Xe]c1ccccc1|[102Xe]C1CCCCC1|RING|Cc1noc(CC(N)[Xe])n1|CC1CCC(CC(N)[102Xe])C1
Cc1cccc(NC(=O)C2CCCN2)n1,Cc1cccc(NC=O)n1,RING|[Xe]C1CCCN1|[102Xe]C1CCCC1|RING|Cc1cccc(NC(=O)[Xe])n1|CC1CCCC(NC(O)[102Xe])C1
Cc1cccc(NC(=O)C2CCCN2)n1,C1CCNC1.Cc1ccccn1,FG|O=C([Xe])N[Xe]|OC([102Xe])N[101Xe]|RING|Cc1cccc([Xe])n1.[Xe]C1CCCN1|CC1CCCC([101Xe])C1.[102Xe]C1CCCC1
Cc1cccc(NC(=O)C2CCCN2)n1,O=C(Nc1ccccn1)C1CCCN1,FG|C[Xe]|C[100Xe]|RING|O=C(Nc1cccc([Xe])n1)C1CCCN1|OC(NC1CCCC([100Xe])C1)C1CCCC1
Cc1cccc(NC(=O)C2CCCN2)n1,C.NC(=O)C1CCCN1,RING|[Xe]c1cccc([Xe])n1|[100Xe]C1CCCC([101Xe])C1|RING|C[Xe].O=C(N[Xe])C1CCCN1|C[100Xe].OC(N[101Xe])C1CCCC1
c1cc(-c2ccc3c(c2)OCO3)n[nH]1,c1ccc2c(c1)OCO2.c1cn[nH]c1,FG|[Xe]|[Xe]|RING|[Xe]c1cc[nH]n1.[Xe]c1ccc2c(c1)OCO2|[Xe]C1CCC2CCCC2C1.[Xe]C1CCCC1
c1cc(-c2ccc3c(c2)OCO3)n[nH]1,c1cn[nH]c1,RING|[Xe]c1ccc2c(c1)OCO2|[100Xe]C1CCC2CCCC2C1|RING|[Xe]c1cc[nH]n1|[100Xe]C1CCCC1
c1cc(-c2ccc3c(c2)OCO3)n[nH]1,c1ccc2c(c1)OCO2,RING|[Xe]c1cc[nH]n1|[100Xe]C1CCCC1|RING|[Xe]c1ccc2c(c1)OCO2|[100Xe]C1CCC2CCCC2C1
Cc1nn(C)c(C)c1CC(N)=O,C.C.C.CC(N)=O,RING|[Xe]c1nn([Xe])c([Xe])c1[Xe]|[100Xe]C1CC([101Xe])C([102Xe])C1[103Xe]|FG|C[Xe].C[Xe].C[Xe].NC(=O)C[Xe]|C[100Xe].C[101Xe].C[102Xe].NC(O)C[103Xe]
Cc1nn(C)c(C)c1CC(N)=O,Cc1nn(C)cc1CC(N)=O,FG|C[Xe]|C[102Xe]|RING|Cc1nn(C)c([Xe])c1CC(N)=O|CC1CC(C)C(CC(N)O)C1[102Xe]
Cc1nn(C)c(C)c1CC(N)=O,Cc1c(CC(N)=O)cnn1C,FG|C[Xe]|C[100Xe]|RING|Cc1c(CC(N)=O)c([Xe])nn1C|CC1CC([100Xe])C(CC(N)O)C1C
Cc1nn(C)c(C)c1CC(N)=O,Cc1cc(C)n(C)n1,FG|NC(=O)C[Xe]|NC(O)C[103Xe]|RING|Cc1nn(C)c(C)c1[Xe]|CC1CC(C)C([103Xe])C1C
Cc1nn(C)c(C)c1CC(N)=O,Cc1n[nH]c(C)c1CC(N)=O,FG|C[Xe]|C[101Xe]|RING|Cc1nn([Xe])c(C)c1CC(N)=O|CC1CC([101Xe])C(C)C1CC(N)O
CC(=O)N1CCOC(CO)C1,OCC1CNCCO1,FG|CC(=O)[Xe]|CC(O)[100Xe]|RING|OCC1CN([Xe])CCO1|OCC1CCCC([100Xe])C1
CC(=O)N1CCOC(CO)C1,CC=O.CO,RING|[Xe]C1CN([Xe])CCO1|[100Xe]C1CCCC([101Xe])C1|FG|CC(=O)[Xe].OC[Xe]|CC(O)[100Xe].OC[101Xe]
CC(=O)N1CCOC(CO)C1,CC(=O)N1CCOCC1,FG|OC[Xe]|OC[101Xe]|RING|CC(=O)N1CCOC([Xe])C1|CC(O)C1CCCC([101Xe])C1
Cc1cccc(C(=O)Nc2ccc(C)cc2O)c1,Cc1cccc(C(=O)Nc2ccccc2O)c1,FG|C[Xe]|C[103Xe]|RING|Cc1cccc(C(=O)Nc2ccc([Xe])cc2O)c1|CC1CCCC(C(O)NC2CCC([103Xe])CC2O)C1
Cc1cccc(C(=O)Nc2ccc(C)cc2O)c1,Cc1cccc(O)c1.Cc1ccccc1,FG|O=C([Xe])N[Xe]|OC([101Xe])N[102Xe]|RING|Cc1ccc([Xe])c(O)c1.Cc1cccc([Xe])c1|CC1CCC([102Xe])C(O)C1.CC1CCCC([101Xe])C1
Cc1cccc(C(=O)Nc2ccc(C)cc2O)c1,C.Cc1ccc(NC=O)c(O)c1,RING|[Xe]c1cccc([Xe])c1|[100Xe]C1CCCC([101Xe])C1|RING|C[Xe].Cc1ccc(NC(=O)[Xe])c(O)c1|CC1CCC(NC(O)[101Xe])C(O)C1.C[100Xe]
Cc1cccc(C(=O)Nc2ccc(C)cc2O)c1,Cc1ccc(NC(=O)c2ccccc2)c(O)c1,FG|C[Xe]|C[100Xe]|RING|Cc1ccc(NC(=O)c2cccc([Xe])c2)c(O)c1|CC1CCC(NC(O)C2CCCC([100Xe])C2)C(O)C1
Cc1cccc(C(=O)Nc2ccc(C)cc2O)c1,Cc1ccc(NC(=O)c2cccc(C)c2)cc1,FG|O[Xe]|O[104Xe]|RING|Cc1cccc(C(=O)Nc2ccc(C)cc2[Xe])c1|CC1CCCC(C(O)NC2CCC(C)CC2[104Xe])C1
